TABLE_NAME,ROW_COUNT,CHUNK_SIZE
_cmc_1000_100,100,1000
_cmc_1000_1000,1000,1000
_cmc_1000_10000,10000,1000
_cmc_1000_20000,20000,1000
_cmc_1000_30000,30000,1000
_cmc_1000_40000,40000,1000
_cmc_1000_50000,50000,1000
_cmc_1000_60000,60000,1000
_cmc_1000_70000,70000,1000
_cmc_1000_80000,80000,1000
_cmc_1000_90000,90000,1000
_cmc_1000_100000,100000,1000
