TABLE_ID,TABLE_NAME,ROW_COUNT,MAX_CHUNK_SIZE
0,customer,150000,100000
1,lineitem,6001215,100000
2,nation,25,100000
3,orders,1500000,100000
4,part,200000,100000
5,partsupp,800000,100000
6,region,5,100000
7,supplier,10000,100000
