reduction_type,benchmark,query,input_count,output_count
prototype:20,joinorder,32b,29997,4412
prototype:20,joinorder,32b,18,16
prototype:20,joinorder,32b,2528312,3597
prototype:20,joinorder,33a,445860,98
prototype:20,joinorder,33a,2528312,570
prototype:20,joinorder,33a,2609129,2306
prototype:20,joinorder,33a,84843,37
prototype:20,joinorder,33a,2609129,141
prototype:20,joinorder,33a,234997,98
prototype:20,joinorder,33a,479,465
prototype:20,joinorder,33b,2609129,2306
prototype:20,joinorder,33b,2306,153
prototype:20,joinorder,33b,2528312,570
prototype:20,joinorder,33b,119565,24
prototype:20,joinorder,33b,2609129,6
prototype:20,joinorder,33b,234997,5
prototype:20,joinorder,33b,674828,2
prototype:20,joinorder,33b,1380035,3
prototype:20,joinorder,33c,2609129,2306
prototype:20,joinorder,33c,1042800,303
prototype:20,joinorder,33c,2528312,570
prototype:20,joinorder,33c,234997,341
prototype:20,joinorder,33c,2609129,640
prototype:20,joinorder,33c,15231,15065
prototype:20,joinorder,33c,234997,287
prototype:20,joinorder,3a,1012920,42590
prototype:20,joinorder,3a,4523930,465850
prototype:20,joinorder,3b,4523930,6869
prototype:20,joinorder,3b,391666,210
prototype:20,joinorder,3c,4523930,3832249
prototype:20,joinorder,3c,2528312,1778441
prototype:20,joinorder,4a,4523930,3267982
prototype:20,joinorder,4a,1012920,325104
prototype:20,joinorder,4b,4523930,6032
prototype:20,joinorder,4b,391666,72
prototype:20,joinorder,4c,4523930,3825415
prototype:20,joinorder,4c,2528312,1215870
prototype:20,joinorder,5a,113,7
prototype:20,joinorder,5a,24025,2166
prototype:20,joinorder,5a,1012920,0
prototype:20,joinorder,5b,1418,1309
prototype:20,joinorder,5b,113,5
prototype:20,joinorder,5b,391666,0
prototype:20,joinorder,5c,487819,427017
prototype:20,joinorder,5c,113,8
prototype:20,joinorder,5c,2528312,657
prototype:20,joinorder,6a,4523930,14
prototype:20,joinorder,6a,36244344,1242
prototype:20,joinorder,6a,2,1
prototype:20,joinorder,6a,391666,11
prototype:20,joinorder,6b,4523930,35548
prototype:20,joinorder,6b,36244344,201
prototype:20,joinorder,6b,2,1
prototype:20,joinorder,6c,4523930,14
prototype:20,joinorder,6c,438,2
prototype:20,joinorder,6c,36244344,33
prototype:20,joinorder,6c,2,1
prototype:20,joinorder,6d,4523930,35548
prototype:20,joinorder,6d,36244344,1228119
prototype:20,joinorder,6d,2,2
prototype:20,joinorder,6d,2528312,30964
prototype:20,joinorder,6e,4523930,14
prototype:20,joinorder,6e,36244344,1242
prototype:20,joinorder,6e,2,1
prototype:20,joinorder,6e,2528312,14
prototype:20,joinorder,6f,4523930,35548
prototype:20,joinorder,6f,2528312,30964
prototype:20,joinorder,6f,36244344,585454
prototype:20,joinorder,6f,4167491,929243
prototype:20,joinorder,7a,36244344,8764
prototype:20,joinorder,7a,1007327,22
prototype:20,joinorder,7a,29997,556
prototype:20,joinorder,7a,340186,7
prototype:20,joinorder,7a,674692,7
prototype:20,joinorder,7b,36244344,8764
prototype:20,joinorder,7b,29997,556
prototype:20,joinorder,7b,76065,356
prototype:20,joinorder,7b,165759,1
prototype:20,joinorder,7b,674692,2
prototype:20,joinorder,7c,36244344,4792014
prototype:20,joinorder,7c,901343,46323
prototype:20,joinorder,7c,2528312,9835
prototype:20,joinorder,7c,941792,2837
prototype:20,joinorder,8a,2528312,8848
prototype:20,joinorder,8a,48897,1537
prototype:20,joinorder,8a,21066,4
prototype:20,joinorder,8a,901343,6
prototype:20,joinorder,8b,93095,226
prototype:20,joinorder,8b,48897,3
prototype:20,joinorder,8b,21066,2
prototype:20,joinorder,8b,901343,3
prototype:20,joinorder,8c,2528312,1584585
prototype:20,joinorder,8c,2728943,1817116
prototype:20,joinorder,8c,4167491,337169
prototype:20,joinorder,8d,2528312,1584585
prototype:20,joinorder,8d,276403,191275
prototype:20,joinorder,8d,4167491,18215
prototype:20,joinorder,9a,3140339,52703
prototype:20,joinorder,9a,2609129,130254
prototype:20,joinorder,9a,1107888,39170
prototype:20,joinorder,9a,6768,151
prototype:20,joinorder,9a,901343,31
prototype:20,joinorder,9b,3140339,43763
prototype:20,joinorder,9b,440138,22914
prototype:20,joinorder,9b,512825,16698
prototype:20,joinorder,9b,5409,13
prototype:20,joinorder,9b,901343,1985
prototype:20,joinorder,9c,3140339,52703
prototype:20,joinorder,9c,2609129,130254
prototype:20,joinorder,9c,50011,1218
prototype:20,joinorder,9c,2528312,90935
prototype:20,joinorder,9c,901343,426
prototype:20,joinorder,9d,3140339,52703
prototype:20,joinorder,9d,961555,26472
prototype:20,joinorder,9d,2609129,130254
prototype:20,joinorder,9d,2528312,90935
prototype:20,joinorder,9d,901343,9742
prototype:20,starschema,2.1,59986214,2413625
prototype:20,starschema,2.1,2413625,2413625
prototype:20,starschema,2.2,59986214,477320
prototype:20,starschema,2.2,477320,477320
prototype:20,starschema,2.3,59986214,59606
prototype:20,starschema,2.3,59606,59606
prototype:20,starschema,3.1,59986214,54654552
prototype:20,starschema,3.1,54654552,10937383
prototype:20,starschema,3.2,59986214,2427213
prototype:20,starschema,3.2,2427213,96683
prototype:20,starschema,3.2,96683,88131
prototype:20,starschema,3.3,59986214,492333
prototype:20,starschema,3.3,492333,3908
prototype:20,starschema,3.3,2192,1732
prototype:20,starschema,3.4,59986214,492333
prototype:20,starschema,3.4,492333,6325
prototype:20,starschema,4.1,59986214,59986214
prototype:20,starschema,4.2,59986214,14430083
prototype:20,starschema,4.2,14430083,2959049
prototype:20,starschema,4.3,59986214,2427213
prototype:20,starschema,4.3,2427213,97719
prototype:20,starschema,4.3,97719,23486
