vector_size,hitrate,distinctiveness,filter_size,k,hash_function,build_time_us,probe_time_us
1000000,1000000,0.01,21,2,1,3285,2864
1000000,1000000,0.01,16,3,1,4512,3865
1000000,1000000,0.01,17,3,1,4749,4049
1000000,1000000,0.01,18,3,1,4772,4047
1000000,1000000,0.01,19,3,1,4753,4041
1000000,1000000,0.01,20,3,1,4761,4048
1000000,1000000,0.01,21,3,1,4751,4066
1000000,999996,0.1,16,1,0,1830,1734
1000000,999956,0.1,17,1,0,1829,1726
1000000,999956,0.1,18,1,0,1830,1750
1000000,999956,0.1,19,1,0,1828,1723
1000000,999956,0.1,20,1,0,1830,1732
1000000,999956,0.1,21,1,0,1828,1743
1000000,999996,0.1,16,2,0,3239,2662
1000000,999956,0.1,17,2,0,3312,2881
1000000,999956,0.1,18,2,0,3311,2870
1000000,999956,0.1,19,2,0,3310,2875
1000000,999956,0.1,20,2,0,3316,2875
1000000,999956,0.1,21,2,0,3348,2896
1000000,999996,0.1,16,3,0,4498,3853
1000000,999956,0.1,17,3,0,4763,4051
1000000,999956,0.1,18,3,0,4756,4047
1000000,999956,0.1,19,3,0,4759,4050
1000000,999956,0.1,20,3,0,4754,4058
1000000,999956,0.1,21,3,0,4775,4068
1000000,999996,0.1,16,1,1,1832,1736
1000000,999956,0.1,17,1,1,1832,1725
1000000,999956,0.1,18,1,1,2066,1749
1000000,999956,0.1,19,1,1,1831,1735
1000000,999956,0.1,20,1,1,1854,1725
1000000,999956,0.1,21,1,1,1833,1749
1000000,999996,0.1,16,2,1,3242,2663
1000000,999956,0.1,17,2,1,3313,2880
1000000,999956,0.1,18,2,1,3310,2870
1000000,999956,0.1,19,2,1,3327,2875
1000000,999956,0.1,20,2,1,3326,2876
1000000,999956,0.1,21,2,1,3318,2887
1000000,999996,0.1,16,3,1,4493,3856
1000000,999956,0.1,17,3,1,4777,4326
1000000,999956,0.1,18,3,1,4767,4064
1000000,999956,0.1,19,3,1,4776,4055
1000000,999956,0.1,20,3,1,4786,4052
1000000,999956,0.1,21,3,1,4757,4049
1000000,1000000,1,16,1,0,1642,1730
1000000,999508,1,17,1,0,1829,1726
1000000,978061,1,18,1,0,1850,1793
1000000,851877,1,19,1,0,2049,1937
1000000,613630,1,20,1,0,2449,2086
1000000,378855,1,21,1,0,2992,2545
1000000,1000000,1,16,2,0,3229,2662
1000000,999612,1,17,2,0,3323,2939
1000000,979483,1,18,2,0,3337,3294
1000000,854232,1,19,2,0,3548,5484
1000000,615120,1,20,2,0,3761,8429
1000000,379494,1,21,2,0,4753,8702
1000000,1000000,1,16,3,0,4488,3864
1000000,999612,1,17,3,0,4767,4061
1000000,979483,1,18,3,0,4838,4480
1000000,854232,1,19,3,0,5012,6486
1000000,615120,1,20,3,0,5195,9427
1000000,379494,1,21,3,0,6409,9239
1000000,1000000,1,16,1,1,1833,1731
1000000,999508,1,17,1,1,1819,1735
1000000,978061,1,18,1,1,1848,1781
1000000,851877,1,19,1,1,2049,1934
1000000,613630,1,20,1,1,2448,2072
1000000,378855,1,21,1,1,3006,2559
1000000,1000000,1,16,2,1,3200,2668
1000000,999612,1,17,2,1,3331,2900
1000000,979483,1,18,2,1,3366,3348
1000000,854232,1,19,2,1,3539,5535
1000000,615120,1,20,2,1,3755,8217
1000000,379494,1,21,2,1,4746,8657
1000000,1000000,1,16,3,1,4510,3859
1000000,999612,1,17,3,1,4772,4069
1000000,979483,1,18,3,1,4827,4485
1000000,854232,1,19,3,1,5011,6358
1000000,615120,1,20,3,1,5206,9088
1000000,379494,1,21,3,1,6390,9182
100000000,100000000,0.01,16,1,0,214648,202751
100000000,100000000,0.01,17,1,0,216460,203167
100000000,100000000,0.01,18,1,0,216509,210202
100000000,100000000,0.01,19,1,0,236014,223333
100000000,100000000,0.01,20,1,0,267248,235525
100000000,100000000,0.01,21,1,0,264231,235186
100000000,100000000,0.01,16,2,0,376431,301800
100000000,100000000,0.01,17,2,0,357024,313286
100000000,100000000,0.01,18,2,0,358787,313385
100000000,100000000,0.01,19,2,0,376433,327765
100000000,100000000,0.01,20,2,0,390298,340123
100000000,100000000,0.01,21,2,0,372343,291798
100000000,100000000,0.01,16,3,0,410029,363632
100000000,100000000,0.01,17,3,0,429500,368444
100000000,100000000,0.01,18,3,0,432757,377697
100000000,100000000,0.01,19,3,0,442982,387750
100000000,100000000,0.01,20,3,0,461518,394022
100000000,100000000,0.01,21,3,0,456406,390172
100000000,100000000,0.01,16,1,1,197519,202796
100000000,100000000,0.01,17,1,1,197919,198096
100000000,100000000,0.01,18,1,1,198339,196653
100000000,100000000,0.01,19,1,1,212467,202745
100000000,100000000,0.01,20,1,1,238374,213106
100000000,100000000,0.01,21,1,1,238193,210196
100000000,100000000,0.01,16,2,1,303207,265566
100000000,100000000,0.01,17,2,1,308166,274659
100000000,100000000,0.01,18,2,1,312181,281115
100000000,100000000,0.01,19,2,1,324644,287021
100000000,100000000,0.01,20,2,1,342027,294540
100000000,100000000,0.01,21,2,1,356891,291146
100000000,100000000,0.01,16,3,1,411890,356711
100000000,100000000,0.01,17,3,1,428895,369595
100000000,100000000,0.01,18,3,1,432363,379519
100000000,100000000,0.01,19,3,1,443238,387900
100000000,100000000,0.01,20,3,1,460690,393580
100000000,100000000,0.01,21,3,1,456271,390323
100000000,100000000,0.1,16,1,0,199941,196878
100000000,100000000,0.1,17,1,0,198497,196629
100000000,100000000,0.1,18,1,0,198336,196476
100000000,100000000,0.1,19,1,0,212402,203165
100000000,100000000,0.1,20,1,0,239731,213601
100000000,100000000,0.1,21,1,0,406267,372023
100000000,100000000,0.1,16,2,0,304608,256016
100000000,100000000,0.1,17,2,0,306620,275797
100000000,100000000,0.1,18,2,0,312205,280492
100000000,100000000,0.1,19,2,0,324708,288107
100000000,100000000,0.1,20,2,0,343762,316292
100000000,100000000,0.1,21,2,0,506255,428161
100000000,100000000,0.1,16,3,0,409646,359139
100000000,100000000,0.1,17,3,0,428868,369998
100000000,100000000,0.1,18,3,0,432338,380467
100000000,100000000,0.1,19,3,0,443228,388822
100000000,100000000,0.1,20,3,0,462063,394913
100000000,100000000,0.1,21,3,0,625174,520250
100000000,100000000,0.1,16,1,1,199746,200045
100000000,100000000,0.1,17,1,1,196123,196728
100000000,100000000,0.1,18,1,1,198932,196105
100000000,100000000,0.1,19,1,1,213341,204077
100000000,100000000,0.1,20,1,1,239906,213587
100000000,100000000,0.1,21,1,1,403506,368524
100000000,100000000,0.1,16,2,1,300276,262686
100000000,100000000,0.1,17,2,1,307072,272086
100000000,100000000,0.1,18,2,1,312018,280202
100000000,100000000,0.1,19,2,1,325241,288303
100000000,100000000,0.1,20,2,1,344159,295687
100000000,100000000,0.1,21,2,1,526485,429501
100000000,100000000,0.1,16,3,1,419515,391084
100000000,100000000,0.1,17,3,1,499316,426336
100000000,100000000,0.1,18,3,1,502713,441681
100000000,100000000,0.1,19,3,1,516914,443230
100000000,100000000,0.1,20,3,1,529153,461823
100000000,100000000,0.1,21,3,1,688403,568022
100000000,100000000,1,16,1,0,215289,206077
100000000,100000000,1,17,1,0,217397,202326
100000000,100000000,1,18,1,0,217481,210661
100000000,100000000,1,19,1,0,236022,223753
100000000,100000000,1,20,1,0,257323,212892
100000000,100000000,1,21,1,0,402601,369408
100000000,100000000,1,16,2,0,300655,263503
100000000,100000000,1,17,2,0,309820,275025
100000000,100000000,1,18,2,0,332617,282439
100000000,100000000,1,19,2,0,324280,288204
100000000,100000000,1,20,2,0,343749,295908
100000000,100000000,1,21,2,0,512323,426830
100000000,100000000,1,16,3,0,412229,359825
100000000,100000000,1,17,3,0,430724,370216
100000000,100000000,1,18,3,0,435499,380395
100000000,100000000,1,19,3,0,446545,388497
100000000,100000000,1,20,3,0,464952,397467
100000000,100000000,1,21,3,0,628211,522196
100000000,100000000,1,16,1,1,198185,196142
100000000,100000000,1,17,1,1,197130,197125
100000000,100000000,1,18,1,1,198298,196796
100000000,100000000,1,19,1,1,213101,204479
100000000,100000000,1,20,1,1,239917,213203
100000000,100000000,1,21,1,1,402704,371606
100000000,100000000,1,16,2,1,298896,259169
100000000,100000000,1,17,2,1,307927,298510
100000000,100000000,1,18,2,1,309405,282212
100000000,100000000,1,19,2,1,324250,287174
100000000,100000000,1,20,2,1,344032,296296
100000000,100000000,1,21,2,1,508188,428713
100000000,100000000,1,16,3,1,412466,359315
100000000,100000000,1,17,3,1,431517,369385
100000000,100000000,1,18,3,1,435031,380040
100000000,100000000,1,19,3,1,445258,389237
100000000,100000000,1,20,3,1,464488,395419
100000000,100000000,1,21,3,1,627769,521530
