"GetTable",0,0,0,50000,3,50000,7963,"","customer_address","","","","e9628864b4c79dc2",0,""
"GetTable",0,0,0,65535,2,65535,10476,"","date_dim","","","","e9628864b4c79dc2",0,""
"GetTable",0,0,0,2880404,10,2.8804e+06,152753,"","store_sales","","","","e9628864b4c79dc2",0,""
"Aggregate",3343,8,1733.47,202,2,1733.47,608637,"REFERENCE","customer_address","ca_zip","AggregateHash","No","747848d0ca9ebfbb",6,""
"GetTable",0,0,0,1441548,3,1.44155e+06,58950,"","catalog_sales","","","","747848d0ca9ebfbb",0,""
"GetTable",0,0,0,50000,3,50000,5728,"","customer_address","","","","747848d0ca9ebfbb",0,""
"GetTable",0,0,0,100000,2,100000,8521,"","customer","","","","747848d0ca9ebfbb",0,""
"GetTable",0,0,0,65535,3,65535,5867,"","date_dim","","","","747848d0ca9ebfbb",0,""
"Aggregate",1,20,7.02756,1,12,7.02756,261992,"REFERENCE","item","i_item_id","AggregateHash","No","76277e5ed4da0819",1,""
"Aggregate",1,20,7.02756,1,12,7.02756,261992,"REFERENCE","item","i_item_desc","AggregateHash","No","76277e5ed4da0819",1,""
"Aggregate",1,20,7.02756,1,12,7.02756,261992,"REFERENCE","store","s_state","AggregateHash","No","76277e5ed4da0819",1,""
"GetTable",0,0,0,18000,3,18000,25144,"","item","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,1441548,4,1.44155e+06,70195,"","catalog_sales","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,12,2,12,12992,"","store","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,73049,2,73049,5098,"","date_dim","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,2880404,6,2.8804e+06,144022,"","store_sales","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,287514,5,287514,20535,"","store_returns","","","","76277e5ed4da0819",0,""
"GetTable",0,0,0,65535,2,65535,5029,"","date_dim","","","","76277e5ed4da0819",0,""
"Aggregate",1447,17,299.463,160,5,299.463,1256317,"REFERENCE","item","i_brand","AggregateHash","No","7ee6cff3a8c3d580",2,""
"Aggregate",1447,17,299.463,160,5,299.463,1256317,"REFERENCE","item","i_brand_id","AggregateHash","No","7ee6cff3a8c3d580",2,""
"Aggregate",1447,17,299.463,160,5,299.463,1256317,"REFERENCE","item","i_manufact_id","AggregateHash","No","7ee6cff3a8c3d580",2,""
"Aggregate",1447,17,299.463,160,5,299.463,1256317,"REFERENCE","item","i_manufact","AggregateHash","No","7ee6cff3a8c3d580",2,""
"GetTable",0,0,0,50000,2,50000,9220,"","customer_address","","","","7ee6cff3a8c3d580",0,""
"GetTable",0,0,0,100000,2,100000,9988,"","customer","","","","7ee6cff3a8c3d580",0,""
"GetTable",0,0,0,12,2,12,6426,"","store","","","","7ee6cff3a8c3d580",0,""
"GetTable",0,0,0,18000,6,18000,8591,"","item","","","","7ee6cff3a8c3d580",0,""
"GetTable",0,0,0,2880404,5,2.8804e+06,91429,"","store_sales","","","","7ee6cff3a8c3d580",0,""
"GetTable",0,0,0,65535,3,65535,4680,"","date_dim","","","","7ee6cff3a8c3d580",0,""
"Aggregate",1,21,665.956,1,7,665.956,173078,"REFERENCE","item","i_item_id","AggregateHash","No","5a7fd39201e63d24",1,""
"Aggregate",1,21,665.956,1,7,665.956,173078,"REFERENCE","item","i_item_desc","AggregateHash","No","5a7fd39201e63d24",1,""
"Aggregate",1,21,665.956,1,7,665.956,173078,"REFERENCE","store","s_store_id","AggregateHash","No","5a7fd39201e63d24",1,""
"Aggregate",1,21,665.956,1,7,665.956,173078,"REFERENCE","store","s_store_name","AggregateHash","No","5a7fd39201e63d24",1,""
"GetTable",0,0,0,1441548,4,1.44155e+06,87516,"","catalog_sales","","","","5a7fd39201e63d24",0,""
"GetTable",0,0,0,12,3,12,9290,"","store","","","","5a7fd39201e63d24",0,""
"GetTable",0,0,0,18000,3,18000,7613,"","item","","","","5a7fd39201e63d24",0,""
"GetTable",0,0,0,65535,3,65535,6565,"","date_dim","","","","5a7fd39201e63d24",0,""
"GetTable",0,0,0,2880404,6,2.8804e+06,152683,"","store_sales","","","","5a7fd39201e63d24",0,""
"GetTable",0,0,0,287514,5,287514,21094,"","store_returns","","","","5a7fd39201e63d24",0,""
"Aggregate",4032,10,6498.59,3207,5,6498.59,5227121,"REFERENCE","item","i_item_id","AggregateHash","No","10dbdaceb474245a",1,""
"GetTable",0,0,0,18000,2,18000,8032,"","item","","","","10dbdaceb474245a",0,""
"GetTable",0,0,0,1441548,8,1.44155e+06,68100,"","catalog_sales","","","","10dbdaceb474245a",0,""
"GetTable",0,0,0,300,3,300,10197,"","promotion","","","","10dbdaceb474245a",0,""
"GetTable",0,0,0,65535,2,65535,4540,"","date_dim","","","","10dbdaceb474245a",0,""
"GetTable",0,0,0,1920800,4,1.9208e+06,62652,"","customer_demographics","","","","10dbdaceb474245a",0,""
"GetTable",0,0,0,2880404,4,2.8804e+06,140250,"","store_sales","","","","33a6c8baa243ee1a",0,""
"Aggregate",1,21,32.9765,1,7,32.9765,160575,"REFERENCE","item","i_item_id","AggregateHash","No","d226deafa3236031",1,""
"Aggregate",1,21,32.9765,1,7,32.9765,160575,"REFERENCE","item","i_item_desc","AggregateHash","No","d226deafa3236031",1,""
"Aggregate",1,21,32.9765,1,7,32.9765,160575,"REFERENCE","store","s_store_id","AggregateHash","No","d226deafa3236031",1,""
"Aggregate",1,21,32.9765,1,7,32.9765,160575,"REFERENCE","store","s_store_name","AggregateHash","No","d226deafa3236031",1,""
"GetTable",0,0,0,12,3,12,11594,"","store","","","","d226deafa3236031",0,""
"GetTable",0,0,0,18000,3,18000,8591,"","item","","","","d226deafa3236031",0,""
"GetTable",0,0,0,2880404,6,2.8804e+06,171611,"","store_sales","","","","d226deafa3236031",0,""
"GetTable",0,0,0,287514,5,287514,19906,"","store_returns","","","","d226deafa3236031",0,""
"GetTable",0,0,0,65535,3,65535,7264,"","date_dim","","","","d226deafa3236031",0,""
"GetTable",0,0,0,1441548,4,1.44155e+06,63071,"","catalog_sales","","","","d226deafa3236031",0,""
"GetTable",0,0,0,73049,2,73049,8870,"","date_dim","","","","d226deafa3236031",0,""
"Aggregate",82209,8,2993.15,1686,4,2993.15,24332116,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",82209,8,2993.15,1686,4,2993.15,24332116,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",82209,8,2993.15,1686,4,2993.15,24332116,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",37599,8,828.567,1261,4,828.567,8166792,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",37599,8,828.567,1261,4,828.567,8166792,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",37599,8,828.567,1261,4,828.567,8166792,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",143944,8,3026.21,1809,4,3026.21,41633204,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",143944,8,3026.21,1809,4,3026.21,41633204,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",143944,8,3026.21,1809,4,3026.21,41633204,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",77668,8,2993.32,1657,4,2993.32,26154463,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",77668,8,2993.32,1657,4,2993.32,26154463,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",77668,8,2993.32,1657,4,2993.32,26154463,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",44,""
"Aggregate",20824,8,819.561,935,4,819.561,6603852,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",20824,8,819.561,935,4,819.561,6603852,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",20824,8,819.561,935,4,819.561,6603852,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",21648,8,819.515,942,4,819.515,5348653,"REFERENCE","customer_address","ca_county","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",21648,8,819.515,942,4,819.515,5348653,"REFERENCE","date_dim","d_qoy","AggregateHash","No","b3cb9453eb547241",11,""
"Aggregate",21648,8,819.515,942,4,819.515,5348653,"REFERENCE","date_dim","d_year","AggregateHash","No","b3cb9453eb547241",11,""
"GetTable",0,0,0,50000,2,50000,7544,"","customer_address","","","","b3cb9453eb547241",0,""
"GetTable",0,0,0,2880404,3,2.8804e+06,87098,"","store_sales","","","","b3cb9453eb547241",0,""
"GetTable",0,0,0,719384,3,719384,43584,"","web_sales","","","","b3cb9453eb547241",0,""
"GetTable",0,0,0,65535,3,65535,5378,"","date_dim","","","","b3cb9453eb547241",0,""
"Aggregate",40538,5,763.885,3896,3,763.885,5445669,"REFERENCE","store_sales","ss_ticket_number","AggregateHash","No","1f3f852eeffeb3fb",44,""
"Aggregate",40538,5,763.885,3896,3,763.885,5445669,"REFERENCE","store_sales","ss_customer_sk","AggregateHash","No","1f3f852eeffeb3fb",44,""
"GetTable",0,0,0,100000,5,100000,12362,"","customer","","","","1f3f852eeffeb3fb",0,""
"GetTable",0,0,0,2880404,5,2.8804e+06,151635,"","store_sales","","","","1f3f852eeffeb3fb",0,""
"GetTable",0,0,0,12,2,12,8731,"","store","","","","1f3f852eeffeb3fb",0,""
"GetTable",0,0,0,7200,4,7200,9639,"","household_demographics","","","","1f3f852eeffeb3fb",0,""
"GetTable",0,0,0,73049,3,73049,9569,"","date_dim","","","","1f3f852eeffeb3fb",0,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_address","ca_state","AggregateHash","No","f2542843ada8b55c",4,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_demographics","cd_gender","AggregateHash","No","f2542843ada8b55c",4,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_demographics","cd_marital_status","AggregateHash","No","f2542843ada8b55c",4,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_demographics","cd_dep_count","AggregateHash","No","f2542843ada8b55c",4,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_demographics","cd_dep_employed_count","AggregateHash","No","f2542843ada8b55c",4,""
"Aggregate",4968,11,2466.25,4873,16,2466.25,37240881,"REFERENCE","customer_demographics","cd_dep_college_count","AggregateHash","No","f2542843ada8b55c",4,""
"GetTable",0,0,0,2880404,2,2.8804e+06,101137,"","store_sales","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,50000,2,50000,16064,"","customer_address","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,719384,2,719384,34783,"","web_sales","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,1441548,2,1.44155e+06,61255,"","catalog_sales","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,100000,3,100000,6565,"","customer","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,65535,3,65535,7753,"","date_dim","","","","f2542843ada8b55c",0,""
"GetTable",0,0,0,1920800,6,1.9208e+06,90520,"","customer_demographics","","","","f2542843ada8b55c",0,""
"Aggregate",180000,10,21418.2,45000,6,21418.2,83735842,"REFERENCE","warehouse","w_warehouse_sk","AggregateHash","No","c472acfef2176cba",4,""
"Aggregate",180000,10,21418.2,45000,6,21418.2,83735842,"REFERENCE","item","i_item_sk","AggregateHash","No","c472acfef2176cba",4,""
"Aggregate",180000,10,21418.2,45000,6,21418.2,83735842,"REFERENCE","date_dim","d_moy","AggregateHash","No","c472acfef2176cba",4,""
"Aggregate",180000,10,19514.8,45000,6,19514.8,77927115,"REFERENCE","warehouse","w_warehouse_sk","AggregateHash","No","c472acfef2176cba",4,""
"Aggregate",180000,10,19514.8,45000,6,19514.8,77927115,"REFERENCE","item","i_item_sk","AggregateHash","No","c472acfef2176cba",4,""
"Aggregate",180000,10,19514.8,45000,6,19514.8,77927115,"REFERENCE","date_dim","d_moy","AggregateHash","No","c472acfef2176cba",4,""
"GetTable",0,0,0,5,2,5,9848,"","warehouse","","","","c472acfef2176cba",0,""
"GetTable",0,0,0,18000,1,18000,11455,"","item","","","","c472acfef2176cba",0,""
