HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
cx26,HashJoin,"1 - HashTableBuild",8,0,4525
cx26,HashJoin,"2 - HashTableFinalization",8,0,9209
cx26,HashJoin,"3 - ProbeSidePartitioning",8,0,2029
cx26,HashJoin,"4 - Joining",8,0,3609
cx26,HashJoin,"1 - HashTableBuild",8,1,5362
cx26,HashJoin,"2 - HashTableFinalization",8,1,9380
cx26,HashJoin,"3 - ProbeSidePartitioning",8,1,2028
cx26,HashJoin,"4 - Joining",8,1,3525
cx26,HashJoin,"1 - HashTableBuild",8,2,5398
cx26,HashJoin,"2 - HashTableFinalization",8,2,9333
cx26,HashJoin,"3 - ProbeSidePartitioning",8,2,2029
cx26,HashJoin,"4 - Joining",8,2,3526
cx26,HashJoin,"1 - HashTableBuild",8,3,5382
cx26,HashJoin,"2 - HashTableFinalization",8,3,9297
cx26,HashJoin,"3 - ProbeSidePartitioning",8,3,2029
cx26,HashJoin,"4 - Joining",8,3,3519
cx26,HashJoin,"1 - HashTableBuild",8,4,5216
cx26,HashJoin,"2 - HashTableFinalization",8,4,11059
cx26,HashJoin,"3 - ProbeSidePartitioning",8,4,2029
cx26,HashJoin,"4 - Joining",8,4,3508
cx26,HashJoin,"1 - HashTableBuild",8,5,5392
cx26,HashJoin,"2 - HashTableFinalization",8,5,9322
cx26,HashJoin,"3 - ProbeSidePartitioning",8,5,2030
cx26,HashJoin,"4 - Joining",8,5,3510
cx26,HashJoin,"1 - HashTableBuild",8,6,5402
cx26,HashJoin,"2 - HashTableFinalization",8,6,9258
cx26,HashJoin,"3 - ProbeSidePartitioning",8,6,2031
cx26,HashJoin,"4 - Joining",8,6,3494
cx26,HashJoin,"1 - HashTableBuild",8,7,5393
cx26,HashJoin,"2 - HashTableFinalization",8,7,11063
cx26,HashJoin,"3 - ProbeSidePartitioning",8,7,2029
cx26,HashJoin,"4 - Joining",8,7,3501
cx26,HashJoin,"1 - HashTableBuild",8,8,5439
